clusterID,celltype,subtype
0,Endothelial,Endothelial
1,Myeloid,Macrophage
2,Tcell,CD4T
3,Epithelial,Epithelial
4,Epithelial,Epithelial
5,Epithelial,Epithelial
6,Tcell,CD4T
7,Endothelial,Endothelial
8,Myeloid,DC
9,Epithelial,Epithelial
10,Bcell,Bcell
11,Tcell,CD8T
12,Myeloid,Macrophage
13,Epithelial,Epithelial
14,Epithelial,Epithelial
15,Myeloid,Myeloid
16,Myeloid,Macrophage
17,Epithelial,Epithelial
18,Epithelial,Epithelial
19,Tcell,CD4T
20,Unsure,Unsure
21,Tcell,CD4T
22,Epithelial,Epithelial
23,Tcell,CD4T
24,Unsure,Unsure
